t,r2
1.010000000000000000e+02,9.999975344662730414e-01
1.020000000000000000e+02,9.999913698576647914e-01
1.030000000000000000e+02,9.999818544471413828e-01
1.040000000000000000e+02,9.999690582424093366e-01
1.050000000000000000e+02,9.999530883629075273e-01
1.060000000000000000e+02,9.999340550255046978e-01
1.070000000000000000e+02,9.999120840984696557e-01
1.080000000000000000e+02,9.998873089641258094e-01
1.090000000000000000e+02,9.998598936218606736e-01
1.100000000000000000e+02,9.998299294900453438e-01
1.110000000000000000e+02,9.997975076191084609e-01
1.120000000000000000e+02,9.997627401906402644e-01
1.130000000000000000e+02,9.997257568562731844e-01
1.140000000000000000e+02,9.996866532263636307e-01
1.150000000000000000e+02,9.996455619419319927e-01
1.160000000000000000e+02,9.996025754637397620e-01
1.170000000000000000e+02,9.995577975900378220e-01
1.180000000000000000e+02,9.995113024704344040e-01
1.190000000000000000e+02,9.994631375797079498e-01
1.200000000000000000e+02,9.994133648675568304e-01
1.210000000000000000e+02,9.993620456117242590e-01
1.220000000000000000e+02,9.993092460139676447e-01
1.230000000000000000e+02,9.992550819994140410e-01
1.240000000000000000e+02,9.991996241679116375e-01
1.250000000000000000e+02,9.991429702053677975e-01
1.260000000000000000e+02,9.990849786961537582e-01
1.270000000000000000e+02,9.990256320595697348e-01
1.280000000000000000e+02,9.989647107975542228e-01
1.290000000000000000e+02,9.989020544932498691e-01
1.300000000000000000e+02,9.988374035509997029e-01
1.310000000000000000e+02,9.987702633685245912e-01
1.320000000000000000e+02,9.987001397986133844e-01
1.330000000000000000e+02,9.986279352355981187e-01
1.340000000000000000e+02,9.985569253684062341e-01
1.350000000000000000e+02,9.984924629082221337e-01
1.360000000000000000e+02,9.984367290187924349e-01
1.370000000000000000e+02,9.983856672458021331e-01
1.380000000000000000e+02,9.983342420408254370e-01
1.390000000000000000e+02,9.982794738541078683e-01
1.400000000000000000e+02,9.982215320143431603e-01
1.410000000000000000e+02,9.981609201148660127e-01
1.420000000000000000e+02,9.980979607219379046e-01
1.430000000000000000e+02,9.980327797824822822e-01
1.440000000000000000e+02,9.979653197604632098e-01
1.450000000000000000e+02,9.978957385077229514e-01
1.460000000000000000e+02,9.978241726454288862e-01
1.470000000000000000e+02,9.977508114510287296e-01
1.480000000000000000e+02,9.976756095084117204e-01
1.490000000000000000e+02,9.975986507627171429e-01
1.500000000000000000e+02,9.975198489232839361e-01
1.510000000000000000e+02,9.974391050908529843e-01
1.520000000000000000e+02,9.973562797971511351e-01
1.530000000000000000e+02,9.972712918629484946e-01
1.540000000000000000e+02,9.971843513999807396e-01
1.550000000000000000e+02,9.970943602625189639e-01
1.560000000000000000e+02,9.970005046242919056e-01
1.570000000000000000e+02,9.969036285599968128e-01
1.580000000000000000e+02,9.968027267872000552e-01
1.590000000000000000e+02,9.966958112226105282e-01
1.600000000000000000e+02,9.965821464195293578e-01
1.610000000000000000e+02,9.964610027167269957e-01
1.620000000000000000e+02,9.963310490301172662e-01
